지역,노선명,역명,위도,경도,총_승하차객수,브랜드_밀도,프리미엄_비율,가성비_비율,브랜드_다양성,클러스터
서울,3호선,동대입구,37.55906,127.005273,20105,4.0,0.75,0.25,3.0,2
서울,3호선,매봉,37.487114,127.046907,23093,5.0,0.4,0.6,5.0,0
서울,3호선,무악재,37.582658,126.950131,7928,3.0,0.33,0.67,2.0,3
서울,3호선,불광,37.610154,126.930183,31866,17.0,0.24,0.76,9.0,0
서울,3호선,수서,37.4875,127.101924,35520,13.0,0.54,0.46,10.0,0
서울,3호선,신사,37.516438,127.020247,53616,19.0,0.42,0.58,10.0,1
서울,3호선,안국,37.576562,126.98547,47368,11.0,0.27,0.73,6.0,0
서울,3호선,압구정,37.526169,127.028502,61256,22.0,0.55,0.45,9.0,1
서울,3호선,약수,37.554554,127.010858,23748,9.0,0.22,0.78,5.0,3
서울,3호선,양재,37.48458,127.03423,71554,25.0,0.36,0.64,10.0,1
서울,3호선,연신내,37.619295,126.920959,68686,23.0,0.22,0.78,9.0,1
서울,3호선,오금,37.502288,127.128344,11532,3.0,0.0,1.0,3.0,3
서울,3호선,옥수,37.541653,127.017303,17127,4.0,0.5,0.5,4.0,2
서울,3호선,을지로3가,37.566299,126.992616,24144,24.0,0.38,0.62,10.0,0
서울,3호선,일원,37.48389,127.08416,20726,2.0,1.0,0.0,2.0,2
서울,3호선,잠원,37.512989,127.011613,13169,2.0,0.5,0.5,2.0,2
서울,3호선,종로3가,37.571537,126.991837,21801,22.0,0.23,0.77,8.0,0
서울,3호선,충무로,37.561382,126.994173,5,26.0,0.27,0.73,10.0,0
서울,3호선,학여울,37.496787,127.0708601,4056,2.0,0.5,0.5,2.0,2
서울,3호선,홍제,37.588851,126.944092,33626,10.0,0.4,0.6,9.0,0
서울,4호선,길음,37.603387,127.025053,39390,13.0,0.38,0.62,9.0,0
서울,4호선,남태령,37.464339,126.989081,2355,0.0,0.0,0.0,0.0,2
서울,4호선,노원,37.656274,127.063183,41177,23.0,0.39,0.61,11.0,0
서울,4호선,동대문,37.57099,127.00925,36138,27.0,0.15,0.85,10.0,0
서울,4호선,동대문역사문화공원,37.565141,127.007808,35767,23.0,0.48,0.52,9.0,0
서울,4호선,동작,37.503567,126.980171,3285,0.0,0.0,0.0,0.0,2
서울,4호선,명동,37.560955,126.986271,68791,37.0,0.54,0.46,9.0,1
서울,4호선,미아,37.626435,127.026151,29086,9.0,0.22,0.78,7.0,3
서울,4호선,미아사거리,37.613276,127.030083,49663,15.0,0.4,0.6,9.0,0
서울,4호선,불암산,37.67009,127.079004,16619,3.0,0.0,1.0,3.0,3
서울,4호선,사당,37.476263,126.981636,46885,14.0,0.43,0.57,8.0,0
서울,4호선,삼각지,37.534457,126.972992,14725,7.0,0.14,0.86,6.0,3
서울,4호선,상계,37.660576,127.073199,34827,12.0,0.08,0.92,6.0,3
서울,4호선,서울역,37.553172,126.972706,33454,22.0,0.45,0.55,10.0,0
서울,4호선,성신여대입구,37.592882,127.016908,41448,24.0,0.25,0.75,10.0,0
서울,4호선,수유,37.637727,127.025371,64683,23.0,0.39,0.61,9.0,1
서울,4호선,숙대입구,37.5447834,126.9721,27306,12.0,0.5,0.5,8.0,0
서울,4호선,신용산,37.52919,126.96858,45233,29.0,0.45,0.55,13.0,1
서울,4호선,쌍문,37.648274,127.034381,52847,14.0,0.29,0.71,10.0,0
서울,4호선,이촌,37.52919,126.9679818,22716,30.0,0.47,0.53,13.0,1
서울,4호선,창동,37.653315,127.048304,53185,16.0,0.19,0.81,9.0,0
서울,4호선,총신대입구,37.487521,126.982309,38594,23.0,0.48,0.52,10.0,0
서울,4호선,충무로,37.561352,126.994573,55857,25.0,0.24,0.76,10.0,1
서울,4호선,한성대입구,37.58838,127.005951,25372,7.0,0.29,0.71,5.0,3
서울,4호선,혜화,37.582116,127.001929,71978,29.0,0.48,0.52,12.0,1
서울,4호선,회현,37.558698,126.978346,53255,39.0,0.56,0.44,11.0,1
서울,5호선,강동,37.53581,127.13249,35308,14.0,0.43,0.57,7.0,0
서울,5호선,강일,37.557521,127.176018,10954,2.0,0.5,0.5,2.0,2
서울,5호선,개롱,37.498097,127.134817,12264,8.0,0.38,0.62,6.0,0
서울,5호선,개화산,37.572458,126.806838,11218,12.0,0.33,0.67,10.0,0
서울,5호선,거여,37.493208,127.143983,18620,8.0,0.5,0.5,6.0,0
서울,5호선,고덕,37.555002,127.154214,19180,10.0,0.4,0.6,10.0,0
서울,5호선,공덕,37.544005,126.951058,27446,27.0,0.44,0.56,10.0,0
서울,5호선,광나루,37.545301,127.103478,20089,8.0,0.5,0.5,6.0,0
서울,5호선,광화문,37.571645,126.976568,65042,46.0,0.59,0.41,12.0,1
서울,5호선,군자,37.557102,127.079559,24550,11.0,0.27,0.73,7.0,0
서울,5호선,굽은다리,37.545442,127.142844,18712,11.0,0.45,0.55,7.0,0
서울,5호선,길동,37.538022,127.140085,17927,16.0,0.44,0.56,11.0,0
서울,5호선,김포공항,37.56217,126.801273,21500,2.0,0.5,0.5,2.0,2
서울,5호선,까치산,37.53221,126.846466,51596,11.0,0.27,0.73,9.0,0
서울,5호선,답십리,37.566833,127.05266,28770,13.0,0.23,0.77,7.0,0
서울,5호선,동대문역사문화공원,37.564682,127.00533,6348,23.0,0.43,0.57,9.0,0
서울,5호선,둔촌동,37.527787,127.136219,25312,16.0,0.19,0.81,9.0,0
서울,5호선,마곡,37.55865,126.837693,30624,26.0,0.46,0.54,10.0,0
서울,5호선,마장,37.566066,127.042921,10578,3.0,0.0,1.0,3.0,3
서울,5호선,마천,37.494972,127.152784,12841,4.0,0.0,1.0,4.0,3
서울,5호선,마포,37.539718,126.946043,28217,21.0,0.33,0.67,10.0,0
서울,5호선,명일,37.551317,127.144002,15433,11.0,0.36,0.64,9.0,0
서울,5호선,목동,37.526088,126.864296,32100,10.0,0.4,0.6,7.0,0
서울,5호선,발산,37.562182,126.82693,46341,31.0,0.39,0.61,10.0,1
서울,5호선,방이,37.508752,127.126054,15000,11.0,0.18,0.82,8.0,3
서울,5호선,방화,37.577669,126.812822,12959,6.0,0.17,0.83,5.0,3
서울,5호선,상일동,37.556714,127.166381,26787,10.0,0.3,0.7,8.0,0
서울,5호선,서대문,37.565812,126.966639,34450,30.0,0.5,0.5,11.0,1
서울,5호선,송정,37.561201,126.812052,11626,8.0,0.25,0.75,6.0,3
서울,5호선,신금호,37.554504,127.020403,11894,6.0,0.33,0.67,5.0,3
서울,5호선,신길,37.51763,126.914886,9580,7.0,0.29,0.71,6.0,3
서울,5호선,신정,37.525001,126.856176,23359,7.0,0.29,0.71,6.0,3
서울,5호선,아차산,37.552005,127.089609,27278,11.0,0.18,0.82,9.0,0
서울,5호선,애오개,37.553592,126.956733,12797,9.0,0.33,0.67,7.0,0
서울,5호선,양평,37.525614,126.886177,15435,11.0,0.18,0.82,7.0,3
서울,5호선,여의나루,37.527045,126.932807,20923,11.0,0.45,0.55,7.0,0
서울,5호선,여의도,37.521678,126.924318,55497,35.0,0.66,0.34,9.0,1
서울,5호선,영등포구청,37.524209,126.895022,9214,24.0,0.33,0.67,12.0,0
서울,5호선,영등포시장,37.52276,126.905143,23551,21.0,0.14,0.86,6.0,3
서울,5호선,오금,37.502228,127.127701,6851,3.0,0.0,1.0,3.0,3
서울,5호선,오목교,37.524557,126.875049,41918,20.0,0.45,0.55,10.0,0
서울,5호선,올림픽공원,37.516217,127.130957,9093,3.0,0.33,0.67,3.0,3
서울,5호선,왕십리,37.56197,127.037264,9714,25.0,0.36,0.64,13.0,0
서울,5호선,우장산,37.548864,126.83633,27621,10.0,0.3,0.7,7.0,0
서울,5호선,을지로4가,37.56728,126.998127,12071,15.0,0.4,0.6,9.0,0
서울,5호선,장한평,37.561438,127.064601,37598,10.0,0.2,0.8,8.0,0
서울,5호선,종로3가,37.572546,126.990447,28471,22.0,0.23,0.77,8.0,0
서울,5호선,천호,37.538566,127.123539,39443,22.0,0.27,0.73,10.0,0
서울,5호선,청구,37.560237,127.01379,6286,7.0,0.14,0.86,5.0,3
서울,5호선,충정로,37.560061,126.962783,9290,13.0,0.54,0.46,6.0,0
서울,5호선,행당,37.557297,127.029482,14210,7.0,0.29,0.71,5.0,3
서울,5호선,화곡,37.541585,126.840436,52425,16.0,0.38,0.62,9.0,0
서울,6호선,고려대,37.59034,127.03626,15178,7.0,0.57,0.43,6.0,2
서울,6호선,공덕,37.543592,126.951664,35009,27.0,0.44,0.56,10.0,0
서울,6호선,광흥창,37.547464,126.931971,17309,7.0,0.43,0.57,6.0,0
서울,6호선,구산,37.611196,126.9172519,14026,6.0,0.33,0.67,6.0,0
서울,6호선,녹사평,37.53469,126.98665,10076,3.0,0.33,0.67,3.0,3
서울,6호선,대흥,37.547732,126.942214,17299,12.0,0.42,0.58,7.0,0
서울,6호선,독바위,37.618413,126.933035,5083,1.0,0.0,1.0,1.0,3
서울,6호선,돌곶이,37.610522,127.056419,21458,9.0,0.11,0.89,6.0,3
서울,6호선,동묘앞,37.572275,127.015666,17586,14.0,0.0,1.0,6.0,3
서울,6호선,디지털미디어시티,37.5760805,126.901343,27659,11.0,0.27,0.73,8.0,0
서울,6호선,마포구청,37.563529,126.903356,26328,10.0,0.4,0.6,8.0,0
서울,6호선,망원,37.556031,126.910129,33167,15.0,0.13,0.87,7.0,3
서울,6호선,버티고개,37.547933,127.006948,4210,0.0,0.0,0.0,0.0,2
서울,6호선,보문,37.585293,127.019377,14520,9.0,0.11,0.89,6.0,3
서울,6호선,봉화산,37.617429,127.0912326,15206,4.0,0.0,1.0,4.0,3
서울,6호선,불광,37.610919,126.929504,8756,16.0,0.25,0.75,9.0,0
서울,6호선,삼각지,37.535563,126.973996,13537,5.0,0.2,0.8,4.0,3
서울,6호선,상수,37.547704,126.92292,21232,15.0,0.33,0.67,10.0,0
서울,6호선,상월곡,37.606392,127.048509,11085,4.0,0.0,1.0,3.0,3
서울,6호선,새절,37.591148,126.913613,22861,11.0,0.18,0.82,7.0,3
서울,6호선,석계,37.614937,127.065922,22825,9.0,0.22,0.78,5.0,3
서울,6호선,신내,37.612571,127.104326,1,5.0,0.0,1.0,4.0,3
서울,6호선,신당,37.566174,127.016158,16689,18.0,0.17,0.83,8.0,0
서울,6호선,안암,37.586261,127.02903,21165,17.0,0.41,0.59,9.0,0
서울,6호선,약수,37.554087,127.010237,6860,9.0,0.22,0.78,5.0,3
서울,6호선,역촌,37.60605,126.922764,8073,7.0,0.14,0.86,5.0,3
서울,6호선,연신내,37.618483,126.920403,2,21.0,0.24,0.76,9.0,0
서울,6호선,월곡,37.60192,127.041492,20870,8.0,0.38,0.62,6.0,0
서울,6호선,월드컵경기장,37.569439,126.899077,7907,2.0,0.0,1.0,2.0,3
서울,6호선,응암,37.59859,126.915583,33471,17.0,0.29,0.71,8.0,0
서울,6호선,이태원,37.534485,126.994369,23932,8.0,0.38,0.62,6.0,0
서울,6호선,증산,37.583989,126.909785,8609,7.0,0.14,0.86,6.0,3
서울,6호선,창신,37.579772,127.015246,5881,1.0,0.0,1.0,1.0,3
서울,6호선,청구,37.560221,127.013776,7056,7.0,0.14,0.86,5.0,3
서울,6호선,태릉입구,37.617319,127.074741,11097,17.0,0.41,0.59,9.0,0
서울,6호선,한강진,37.53956,127.001729,19550,0.0,0.0,0.0,0.0,2
서울,6호선,합정,37.549033,126.913546,25881,25.0,0.4,0.6,12.0,0
서울,6호선,화랑대,37.619875,127.084106,17952,4.0,0.25,0.75,3.0,3
서울,6호선,효창공원앞,37.539279,126.961348,13389,9.0,0.11,0.89,6.0,3
서울,7호선,가산디지털단지,37.480376,126.882704,77223,43.0,0.35,0.65,11.0,1
서울,7호선,강남구청,37.517185,127.04122,31691,13.0,0.54,0.46,9.0,0
서울,7호선,건대입구,37.540882,127.071103,27315,30.0,0.4,0.6,11.0,0
서울,7호선,고속터미널,37.503387,127.005055,32167,28.0,0.54,0.46,11.0,1
서울,7호선,공릉,37.625642,127.072969,22886,14.0,0.21,0.79,9.0,0
서울,7호선,군자,37.557151,127.079484,26542,11.0,0.27,0.73,7.0,0
서울,7호선,남구로,37.486181,126.887372,28653,9.0,0.0,1.0,5.0,3
서울,7호선,남성,37.484688,126.971108,20396,9.0,0.11,0.89,6.0,3
서울,7호선,내방,37.48764,126.993541,27803,8.0,0.38,0.62,6.0,0
서울,7호선,노원,37.654478,127.060555,40442,27.0,0.44,0.56,11.0,1
서울,7호선,논현,37.511108,127.021385,36192,23.0,0.43,0.57,11.0,0
서울,7호선,대림,37.492984,126.896997,18031,7.0,0.43,0.57,6.0,0
서울,7호선,도봉산,37.689131,127.046548,16761,3.0,0.33,0.67,3.0,3
서울,7호선,마들,37.664985,127.057701,24253,8.0,0.25,0.75,7.0,3
서울,7호선,먹골,37.610638,127.077719,19394,10.0,0.2,0.8,8.0,3
서울,7호선,면목,37.588671,127.087503,26862,8.0,0.12,0.88,7.0,3
서울,7호선,반포,37.508171,127.011717,12338,9.0,0.56,0.44,8.0,0
서울,7호선,보라매,37.499916,126.920112,12658,14.0,0.14,0.86,6.0,3
